haplo.freq,locus1,locus2,allele1,allele2
0.02769,A,DRB1,02:01,03:01
0.02693,A,DRB1,02:01,04:01
0.0222,A,DRB1,02:01,15:01
0.02099,A,DRB1,24:02,11:04
0.0178,A,DRB1,02:05,10:01
0.01542,A,DRB1,02:01,11:01
0.015,A,DRB1,02:01,07:01
0.01485,A,DRB1,24:02,13:01
0.01432,A,DRB1,11:01,01:01
0.01398,A,DRB1,02:01,01:01
0.01083,A,DRB1,24:02,04:01
0.01081,A,DRB1,02:01,14:01
0.01024,A,DRB1,29:02,07:01
0.00959,A,DRB1,02:01,08:01
0.00953,A,DRB1,11:01,13:02
0.00932,A,DRB1,01:01,04:01
0.00914,A,DRB1,03:01,03:01
0.00884,A,DRB1,24:02,11:01
0.00872,A,DRB1,03:01,04:01
0.00867,A,DRB1,31:01,04:04
0.00809,A,DRB1,02:01,12:01
0.00804,A,DRB1,33:01,11:01
0.00802,A,DRB1,25:01,04:01
0.00749,A,DRB1,31:01,15:01
0.00745,A,DRB1,02:01,13:02
0.00735,A,DRB1,02:01,13:01
0.0068,A,DRB1,29:02,03:01
0.0067,A,DRB1,02:01,04:07
0.00666,A,DRB1,03:01,04:04
0.00647,A,DRB1,24:02,14:01
0.00624,A,DRB1,02:01,04:03
0.00616,A,DRB1,24:02,15:01
0.0061,A,DRB1,68:01,07:01
0.00609,A,DRB1,32:01,15:01
0.00606,A,DRB1,26:01,13:01
0.00591,A,DRB1,03:01,16:01
0.0059,A,DRB1,68:01,04:01
0.00586,A,DRB1,11:01,13:01
0.00567,A,DRB1,02:01,11:04
0.00542,A,DRB1,03:01,13:01
0.00523,A,DRB1,01:01,01:01
0.00507,A,DRB1,26:01,08:01
0.00485,A,DRB1,68:02,13:03
0.00485,A,DRB1,24:02,01:02
0.00485,A,DRB1,30:02,15:03
0.00485,A,DRB1,23:01,13:03
0.00485,A,DRB1,33:01,04:07
0.00485,A,DRB1,68:01,08:02
0.00485,A,DRB1,26:01,13:02
0.00481,A,DRB1,11:01,07:01
0.00481,A,DRB1,33:01,07:01
0.00476,A,DRB1,23:01,15:01
0.00464,A,DRB1,33:01,15:01
0.0046,A,DRB1,24:02,07:01
0.00459,A,DRB1,11:01,01:03
0.00455,A,DRB1,02:01,11:03
0.0045,A,DRB1,68:01,08:01
0.00436,A,DRB1,24:02,03:01
0.00434,A,DRB1,01:01,13:02
0.00428,A,DRB1,32:01,11:01
0.00417,A,DRB1,02:01,16:01
0.0041,A,DRB1,01:01,15:01
0.00408,A,DRB1,03:01,11:04
0.00398,A,DRB1,25:01,13:01
0.00395,A,DRB1,02:01,04:04
0.00375,A,DRB1,03:01,14:01
0.00359,A,DRB1,01:01,04:04
0.00353,A,DRB1,68:01,04:04
0.00324,A,DRB1,30:01,07:01
0.00324,A,DRB1,02:01,11:02
0.00324,A,DRB1,30:02,13:02
0.00324,A,DRB1,68:01,13:02
0.00324,A,DRB1,01:01,08:01
0.00324,A,DRB1,26:01,04:04
0.00324,A,DRB1,11:01,14:01
0.00324,A,DRB1,31:01,08:02
0.00324,A,DRB1,01:01,09:01
0.00324,A,DRB1,68:01,11:02
0.00324,A,DRB1,29:01,07:01
0.00324,A,DRB1,30:01,04:01
0.00324,A,DRB1,23:01,01:01
0.00324,A,DRB1,68:02,01:02
0.00324,A,DRB1,32:01,14:02
0.00324,A,DRB1,02:05,04:05
0.00324,A,DRB1,24:02,13:03
0.00324,A,DRB1,11:01,15:02
0.00324,A,DRB1,66:01,07:01
0.00319,A,DRB1,25:01,07:01
0.00318,A,DRB1,68:01,12:01
0.00306,A,DRB1,31:01,11:01
0.00304,A,DRB1,68:01,11:01
0.00301,A,DRB1,11:01,04:07
0.003,A,DRB1,11:01,04:04
0.00294,A,DRB1,11:01,12:01
0.00287,A,DRB1,24:02,16:01
0.00276,A,DRB1,26:01,07:01
0.00275,A,DRB1,68:01,15:01
0.00254,A,DRB1,24:02,04:03
0.00251,A,DRB1,03:01,07:01
0.00249,A,DRB1,25:01,04:04
0.00227,A,DRB1,32:01,07:01
0.00221,A,DRB1,03:01,11:01
0.0021,A,DRB1,26:01,03:01
0.0021,A,DRB1,29:02,04:04
0.00209,A,DRB1,11:01,15:01
0.00204,A,DRB1,11:01,11:01
0.00196,A,DRB1,11:01,04:01
0.00193,A,DRB1,01:01,04:03
0.00192,A,DRB1,01:01,11:03
0.00191,A,DRB1,32:01,12:01
0.00189,A,DRB1,03:01,01:03
0.00188,A,DRB1,11:01,08:01
0.0018,A,DRB1,26:01,04:01
0.0018,A,DRB1,31:01,13:02
0.00175,A,DRB1,68:01,13:01
0.00174,A,DRB1,25:01,15:01
0.00171,A,DRB1,29:02,15:01
0.00171,A,DRB1,23:01,07:01
0.00168,A,DRB1,31:01,03:01
0.00167,A,DRB1,03:01,12:01
0.00166,A,DRB1,01:01,12:01
0.00164,A,DRB1,01:01,13:01
0.00162,A,DRB1,33:05,01:02
0.00162,A,DRB1,68:02,09:01
0.00162,A,DRB1,68:02,07:01
0.00162,A,DRB1,30:02,03:01
0.00162,A,DRB1,23:01,11:02
0.00162,A,DRB1,66:01,11:02
0.00162,A,DRB1,02:05,11:04
0.00162,A,DRB1,02:01,14:02
0.00162,A,DRB1,24:02,08:02
0.00162,A,DRB1,11:01,04:02
0.00162,A,DRB1,03:01,04:02
0.00162,A,DRB1,24:02,04:07
0.00162,A,DRB1,26:01,01:01
0.00162,A,DRB1,33:01,15:03
0.00162,A,DRB1,68:02,08:04
0.00162,A,DRB1,02:05,04:03
0.00162,A,DRB1,24:07,12:02
0.00162,A,DRB1,30:01,09:01
0.00162,A,DRB1,32:01,14:20
0.00162,A,DRB1,02:01,15:03
0.00162,A,DRB1,74:01,15:03
0.00162,A,DRB1,25:01,11:03
0.00162,A,DRB1,33:01,14:01
0.00162,A,DRB1,02:05,04:02
0.00162,A,DRB1,30:02,11:04
0.00162,A,DRB1,02:02,16:01
0.00162,A,DRB1,31:01,11:04
0.00162,A,DRB1,23:01,14:06
0.00162,A,DRB1,25:01,11:02
0.00162,A,DRB1,02:06,14:06
0.00162,A,DRB1,31:01,04:07
0.00162,A,DRB1,34:02,13:02
0.00162,A,DRB1,36:01,11:01
0.00162,A,DRB1,01:02,09:01
0.00162,A,DRB1,29:02,13:03
0.00162,A,DRB1,24:05,16:01
0.00162,A,DRB1,68:01,04:03
0.00162,A,DRB1,34:02,04:05
0.00162,A,DRB1,03:01,04:05
0.00162,A,DRB1,02:02,11:01
0.00162,A,DRB1,33:01,15:02
0.00162,A,DRB1,32:01,08:01
0.00162,A,DRB1,66:01,14:01
0.00162,A,DRB1,33:01,03:02
0.00162,A,DRB1,02:06,04:02
0.00162,A,DRB1,68:03,08:02
0.00162,A,DRB1,02:05,08:04
0.00162,A,DRB1,30:01,11:02
0.00162,A,DRB1,32:01,11:02
0.00162,A,DRB1,74:01,11:02
0.00162,A,DRB1,31:01,01:03
0.00162,A,DRB1,69:01,03:01
0.00162,A,DRB1,32:01,10:01
0.00162,A,DRB1,02:01,10:01
0.00162,A,DRB1,01:01,11:04
0.00162,A,DRB1,29:02,11:04
0.00162,A,DRB1,23:01,10:01
0.00162,A,DRB1,26:01,04:23
0.00162,A,DRB1,68:02,11:01
0.00162,A,DRB1,02:01,04:11
0.00162,A,DRB1,02:06,04:03
0.00162,A,DRB1,03:01,04:08
0.00162,A,DRB1,31:01,04:08
0.00162,A,DRB1,68:05,04:03
0.00162,A,DRB1,24:02,08:06
0.00162,A,DRB1,01:01,04:02
0.00162,A,DRB1,68:02,15:01
0.00162,A,DRB1,30:02,01:02
0.00162,A,DRB1,30:01,04:02
0.00162,A,DRB1,23:01,15:03
0.00162,A,DRB1,02:05,13:05
0.00162,A,DRB1,68:01,01:03
0.00162,A,DRB1,11:01,09:01
0.00162,A,DRB1,30:01,11:01
0.00162,A,DRB1,74:01,12:01
0.00162,A,DRB1,34:01,04:05
0.00162,A,DRB1,66:02,13:02
0.00162,A,DRB1,01:01,04:05
0.00162,A,DRB1,25:01,04:07
0.00162,A,DRB1,23:01,08:03
0.00162,A,DRB1,30:01,13:01
0.00162,A,DRB1,23:01,14:01
0.00162,A,DRB1,33:01,11:03
0.00162,A,DRB1,34:02,15:03
0.00162,A,DRB1,02:01,04:05
0.00162,A,DRB1,02:05,15:02
0.00162,A,DRB1,68:02,16:01
0.00162,A,DRB1,02:02,04:05
0.00162,A,DRB1,30:02,13:03
0.00162,A,DRB1,69:01,07:01
0.00162,A,DRB1,31:01,04:03
0.00157,A,DRB1,31:01,12:01
0.00116,A,DRB1,29:02,13:02
0.00064,A,DRB1,29:02,04:01
0.00062,A,DRB1,11:01,04:03
0.00031,A,DRB1,33:01,04:01
0.06972,A,DQA1,01:01,05:01
0.05833,A,DQA1,02:01,05:01
0.0467,A,DQA1,02:01,03:01
0.04476,A,DQA1,03:01,01:02
0.03854,A,DQA1,03:01,01:01
0.03474,A,DQA1,02:01,01:01
0.03023,A,DQA1,02:01,01:02
0.02891,A,DQA1,03:01,03:01
0.02479,A,DQA1,01:01,02:01
0.02329,A,DQA1,02:01,02:01
0.02253,A,DQA1,11:01,01:01
0.02044,A,DQA1,01:01,03:01
0.01964,A,DQA1,24:02,03:01
0.01906,A,DQA1,24:02,05:01
0.0161,A,DQA1,32:01,05:01
0.01522,A,DQA1,31:01,03:01
0.01512,A,DQA1,24:02,01:03
0.01394,A,DQA1,01:01,01:01
0.01316,A,DQA1,24:02,01:02
0.01312,A,DQA1,01:01,01:02
0.01288,A,DQA1,11:01,05:01
0.01268,A,DQA1,68:01,03:01
0.01192,A,DQA1,11:01,03:01
0.01129,A,DQA1,25:01,03:01
0.01106,A,DQA1,33:01,05:01
0.01103,A,DQA1,29:02,02:01
0.011,A,DQA1,11:01,01:02
0.01087,A,DQA1,02:01,04:01
0.01085,A,DQA1,02:01,01:03
0.01029,A,DQA1,30:02,01:02
0.01003,A,DQA1,03:01,05:01
0.00991,A,DQA1,31:01,05:01
0.00959,A,DQA1,29:02,05:01
0.0094,A,DQA1,23:01,01:02
0.00923,A,DQA1,31:01,01:02
0.00909,A,DQA1,24:02,01:01
